Run_s	Sample_Name_s
SRR1748535	P00007
SRR1748536	P00007
SRR1748537	P00008
SRR1748538	P00008
SRR1748539	P00009
SRR1748540	P00009
SRR1748541	P00010
SRR1748542	P00010
SRR1748543	P00011
SRR1748544	P00011
SRR1748545	P00024
SRR1748546	P00024
SRR1748547	P00027
SRR1748548	P00027
SRR1748549	P00030
SRR1748550	P00030
SRR1748551	P00031
SRR1748552	P00031
SRR1748553	P00032
SRR1748554	P00032
SRR1748555	P00033
SRR1748556	P00033
SRR1748557	P00034
SRR1748558	P00034
SRR1748559	P00035
SRR1748560	P00035
SRR1748563	P00041
SRR1748564	P00041
SRR1748561	P00036
SRR1748562	P00036
SRR1748565	P00042
SRR1748566	P00042
SRR1748569	P00046
SRR1748570	P00046
SRR1748571	P00046
SRR1748572	P00047
SRR1748573	P00047
SRR1748574	P00049
SRR1748575	P00049
SRR1748576	P00049
SRR1748577	P00050
SRR1748578	P00050
SRR1748579	P00050
SRR1748580	P00051
SRR1748581	P00051
SRR1748582	P00051
SRR1748583	P00052
SRR1748584	P00052
SRR1748585	P00052
SRR1748588	P00054
SRR1748589	P00054
SRR1748590	P00054
SRR1748591	P00055
SRR1748592	P00055
SRR1748593	P00055
SRR1748594	P00056
SRR1748595	P00056
SRR1748596	P00056
SRR1748597	P00058
SRR1748598	P00058
SRR1748599	P00058
SRR1748602	P00060
SRR1748603	P00060
SRR1748604	P00061
SRR1748605	P00061
SRR1748606	P00061
SRR1748607	P00062
SRR1748608	P00062
SRR1748609	P00063
SRR1748610	P00063
SRR1748611	P00064
SRR1748612	P00066
SRR1748613	P00067
SRR1748614	P00068
SRR1748615	P00068
SRR1748616	P00069
SRR1748617	P00069
SRR1748618	P00070
SRR1748619	P00072
SRR1748620	P00073
SRR1748621	P00074
SRR1748622	P00074
SRR1748623	P00079
SRR1748624	P00080
SRR1748625	P00080
SRR1748626	P00080
SRR1748627	P00081
SRR1748628	P00081
SRR1748631	P00083
SRR1748636	P00085
SRR1748629	P00081
SRR1748630	P00083
SRR1748632	P00084
SRR1748633	P00084
SRR1748634	P00084
SRR1748635	P00085
SRR1748637	P00086
SRR1748638	P00086
SRR1748639	P00087
SRR1748640	P00087
SRR1748641	P00087
SRR1748642	P00088
SRR1748643	P00088
SRR1748644	P00088
SRR1748645	P00089
SRR1748646	P00090
SRR1748647	P00090
SRR1748648	P00090
SRR1748649	P00091
SRR1748650	P00091
SRR1748651	P00091
SRR1748652	P00092
SRR1748653	P00093
SRR1748654	P00093
SRR1748655	P00094
SRR1748656	P00094
SRR1748657	P00094
SRR1748658	P00095
SRR1748659	P00099
SRR1748660	P00100
SRR1748661	P00100
SRR1748662	P00101
SRR1748663	P00102
SRR1748664	P00103
SRR1748665	P00103
SRR1748666	P00107
SRR1748667	P00108
SRR1748668	P00109
SRR1748669	P00109
SRR1748670	P00111
SRR1748671	P00112
SRR1748672	P00112
SRR1748673	P00113
SRR1748674	P00113
SRR1748675	P00114
SRR1748676	P00115
SRR1748677	P00116
SRR1748678	P00117
SRR1748679	P00117
SRR1748680	P00118
SRR1748681	P00118
SRR1748683	P00120
SRR1748684	P00120
SRR1748687	P00122
SRR1748690	P00124
SRR1748691	P00124
SRR1748692	P00125
SRR1748693	P00125
SRR1748694	P00126
SRR1748695	P00127
SRR1748696	P00127
SRR1748697	P00128
SRR1748698	P00128
SRR1748699	P00129
SRR1748700	P00130
SRR1748701	P00130
SRR1748702	P00131
SRR1748703	P00132
SRR1748704	P00132
SRR1748705	P00133
SRR1748706	P00133
SRR1748707	P00134
SRR1748708	P00134
SRR1748709	P00135
SRR1748710	P00135
SRR1748711	P00139
SRR1748712	P00141
SRR1748713	P00143
SRR1748714	P00143
SRR1748715	P00147
SRR1748716	P00148
SRR1748717	P00148
SRR1748718	P00149
SRR1748719	P00149
SRR1748720	P00150
SRR1748721	P00151
SRR1748722	P00151
SRR1748723	P00152
SRR1748724	P00152
SRR1748725	P00153
SRR1748726	P00153
SRR1748727	P00154
SRR1748728	P00155
SRR1748729	P00155
SRR1748730	P00156
SRR1748731	P00156
SRR1748732	P00157
SRR1748733	P00158
SRR1748734	P00158
SRR1748736	P00159
SRR1748738	P00160
SRR1748739	P00161
SRR1748740	P00162
SRR1748742	P00163
SRR1748743	P00164
SRR1748744	P00165
SRR1748746	P00166
SRR1748748	P00167
SRR1748749	P00168
SRR1748751	P00169
SRR1748753	P00170
SRR1748755	P00171
SRR1748756	P00172
SRR1748758	P00173
SRR1748760	P00174
SRR1748761	P00175
SRR1748763	P00176
SRR1748765	P00177
SRR1748766	P00178
SRR1748771	P00181
SRR1748735	P00159
SRR1748737	P00160
SRR1748741	P00163
SRR1748745	P00166
SRR1748747	P00167
SRR1748750	P00169
SRR1748752	P00170
SRR1748754	P00171
SRR1748757	P00173
SRR1748759	P00174
SRR1748762	P00176
SRR1748764	P00177
SRR1748767	P00179
SRR1748768	P00179
SRR1748769	P00180
SRR1748770	P00180
SRR1748772	P00182
SRR1748773	P00182
SRR1748774	P00183
SRR1748775	P00183
SRR1748776	P00184
SRR1748777	P00184
SRR1748778	P00185
SRR1748779	P00186
SRR1748780	P00186
SRR1748781	P00187
SRR1748782	P00187
SRR1748783	P00188
SRR1748784	P00189
SRR1748785	P00189
SRR1748786	P00190
SRR1748787	P00191
SRR1748788	P00192
SRR1748789	P00193
SRR1748790	P00194
SRR1748791	P00195
SRR1748792	P00196
SRR1748793	P00197
SRR1748794	P00198
SRR1748795	P00199
SRR1748796	P00200
SRR1748797	P00201
SRR1748798	P00202
SRR1748799	P00203
SRR1748800	P00204
SRR1748801	P00205
SRR1748802	P00206
SRR1748803	P00207
SRR1748804	P00208
SRR1748805	P00209
SRR1748806	P00210
SRR1748807	P00211
SRR1748808	P00212
SRR1748809	P00213
SRR1748810	P00214
SRR1748811	P00215
SRR1748812	P00216
SRR1748813	P00217
SRR1748814	P00218
