anthracis
Study	Min.	1st Qu.	Median	Mean	3rd Qu.	Max
SRR1749070-0.01x	0	0.0000	0.0000	0.3382	0.0000	524
SRR1749070-0.05x	0	0.0000	0.0000	0.3685	0.0000	524
SRR1749070-0.10x	0	0.0000	0.0000	0.4054	0.0000	524
SRR1749070-0.25x	0	0.0000	0.0000	0.5182	0.0000	524
SRR1749070-0.5x	0	0.0000	0.0000	0.7062	1.0000	524
SRR1749070-0x	0	0.0000	0.0000	0.3307	0.0000	524
SRR1749070-1x	0	0.0000	1.0000	1.0793	1.0000	524
SRR1749070-5x	0	2.0000	3.0000	4.0712	5.0000	529


cereus
Study	Min.	1st Qu.	Median	Mean	3rd Qu.	Max
SRR1749070-0.01x	0	0.0000	0.0000	0.3344	0.0000	521
SRR1749070-0.05x	0	0.0000	0.0000	0.3587	0.0000	521
SRR1749070-0.10x	0	0.0000	0.0000	0.3881	0.0000	521
SRR1749070-0.25x	0	0.0000	0.0000	0.4781	0.0000	521
SRR1749070-0.5x	0	0.0000	0.0000	0.6293	1.0000	521
SRR1749070-0x	0	0.0000	0.0000	0.3284	0.0000	521
SRR1749070-1x	0	0.0000	0.0000	0.9291	1.0000	523
SRR1749070-5x	0	1.0000	3.0000	3.3184	5.0000	528


