Sample	Total Queried Kmers	Hits	Percent	Singleton Hits	Singleton Percent	Hits (excluding singletons)	Percent(excluding singletons)	Min Count	Mean Count	Median Count	Max Count
SRR1748535	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
SRR1748536	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
SRR1748537	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
SRR1748538	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
SRR1748539	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
SRR1748540	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
SRR1748541	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
SRR1748542	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
SRR1748543	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
SRR1748544	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
SRR1748545	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
SRR1748546	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
SRR1748547	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
SRR1748548	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
SRR1748549	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
SRR1748550	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
SRR1748551	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
SRR1748552	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
SRR1748553	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
SRR1748554	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
SRR1748555	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
SRR1748556	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
SRR1748557	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
SRR1748558	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
SRR1748559	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
SRR1748560	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
SRR1748561	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
SRR1748562	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
SRR1748563	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
SRR1748564	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
SRR1748565	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
SRR1748566	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
SRR1748567	1790	1	0.00	0	0.00	1	0.00	0	0.00	0.00	2
SRR1748568	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
SRR1748569	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
SRR1748570	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
SRR1748571	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
SRR1748572	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
SRR1748573	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
SRR1748574	1790	1	0.00	1	1.00	0	0.00	0	0.00	0.00	1
SRR1748575	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
SRR1748576	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
SRR1748577	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
SRR1748578	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
SRR1748579	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
SRR1748580	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
