Sample	Total Queried Kmers	Hits	Percent	Singleton Hits	Singleton Percent	Hits (excluding singletons)	Percent(excluding singletons)	Min Count	Mean Count	Median Count	Max Count
SRR1748535	14954	24	0.00	12	0.50	12	0.00	0	0.00	0.00	4
SRR1748536	14954	226	0.02	195	0.86	31	0.00	0	0.03	0.00	23
SRR1748537	14954	2	0.00	0	0.00	2	0.00	0	0.00	0.00	2
SRR1748538	14954	19	0.00	9	0.47	10	0.00	0	0.00	0.00	3
SRR1748539	14954	63	0.00	12	0.19	51	0.00	0	0.01	0.00	6
SRR1748540	14954	579	0.04	364	0.63	215	0.01	0	0.06	0.00	13
SRR1748541	14954	3	0.00	0	0.00	3	0.00	0	0.00	0.00	2
SRR1748542	14954	661	0.04	533	0.81	128	0.01	0	0.05	0.00	2
SRR1748543	14954	182	0.01	30	0.16	152	0.01	0	0.03	0.00	10
SRR1748544	14954	2484	0.17	1838	0.74	646	0.04	0	0.25	0.00	31
SRR1748545	14954	28	0.00	4	0.14	24	0.00	0	0.00	0.00	2
SRR1748546	14954	846	0.06	623	0.74	223	0.01	0	0.07	0.00	3
SRR1748547	14954	119	0.01	17	0.14	102	0.01	0	0.01	0.00	2
SRR1748548	14954	631	0.04	468	0.74	163	0.01	0	0.05	0.00	4
SRR1748549	14954	629	0.04	52	0.08	577	0.04	0	0.08	0.00	2
SRR1748550	14954	5897	0.39	3009	0.51	2888	0.19	0	0.68	0.00	14
SRR1748551	14954	41	0.00	8	0.20	33	0.00	0	0.00	0.00	2
SRR1748552	14954	850	0.06	537	0.63	313	0.02	0	0.08	0.00	4
SRR1748553	14954	66	0.00	6	0.09	60	0.00	0	0.01	0.00	2
SRR1748554	14954	1555	0.10	1072	0.69	483	0.03	0	0.15	0.00	10
SRR1748555	14954	11	0.00	10	0.91	1	0.00	0	0.00	0.00	3
SRR1748556	14954	36	0.00	9	0.25	27	0.00	0	0.03	0.00	16
SRR1748557	14954	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
SRR1748558	14954	32	0.00	27	0.84	5	0.00	0	0.00	0.00	2
SRR1748559	14954	577	0.04	236	0.41	341	0.02	0	0.06	0.00	4
SRR1748560	14954	32	0.00	3	0.09	29	0.00	0	0.01	0.00	4
SRR1748561	14954	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
SRR1748562	14954	69	0.00	57	0.83	12	0.00	0	0.01	0.00	2
SRR1748563	14954	8	0.00	0	0.00	8	0.00	0	0.00	0.00	2
SRR1748564	14954	413	0.03	288	0.70	125	0.01	0	0.04	0.00	2
SRR1748565	14954	158	0.01	90	0.57	68	0.00	0	0.02	0.00	4
SRR1748566	14954	1751	0.12	1107	0.63	644	0.04	0	0.19	0.00	12
