BioSample_s	Library_Name_s	LoadDate_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	collection_date_s	env_biome_s	env_feature_s	env_material_s	isolate_s	lat_lon_s	Assay_Type_s	AssemblyName_s	BioProject_s	BioSampleModel_s	Center_Name_s	Consent_s	InsertSize_l	Platform_s	ReleaseDate_s	SRA_Study_s	g1k_analysis_group_s	g1k_pop_code_s	geo_loc_name_s	host_s	source_s
SAMN03270026	P00007_hudsonmiseq	Jan 09, 2015	91	54	SRR1748535	SRS801727	P00007	25-Jun-2013	city	subway	metal	P00007	40.73 N 73.99 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270026	P00007	Jan 27, 2015	659	253	SRR1748536	SRS801727	P00007	25-Jun-2013	city	subway	metal	P00007	40.73 N 73.99 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270027	P00008_hudsonmiseq	Jan 09, 2015	92	56	SRR1748537	SRS801728	P00008	25-Jun-2013	city	park	wood	P00008	40.73 N 73.99 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270027	P00008	Jan 27, 2015	624	246	SRR1748538	SRS801728	P00008	25-Jun-2013	city	park	wood	P00008	40.73 N 73.99 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270028	P00009_hudsonmiseq	Jan 09, 2015	82	48	SRR1748539	SRS801729	P00009	25-Jun-2013	city	park	wood	P00009	40.73 N 73.99 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270028	P00009	Jan 27, 2015	574	221	SRR1748540	SRS801729	P00009	25-Jun-2013	city	park	wood	P00009	40.73 N 73.99 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270029	P00010_hudsonmiseq	Jan 09, 2015	88	51	SRR1748541	SRS801730	P00010	25-Jun-2013	city	park	wood	P00010	40.73 N 73.99 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270029	P00010	Jan 27, 2015	564	218	SRR1748542	SRS801730	P00010	25-Jun-2013	city	park	wood	P00010	40.73 N 73.99 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270030	P00011_hudsonmiseq	Jan 09, 2015	79	47	SRR1748543	SRS801731	P00011	25-Jun-2013	city	park	metal/plastic	P00011	40.73 N 73.99 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270030	P00011	Jan 27, 2015	514	197	SRR1748544	SRS801731	P00011	25-Jun-2013	city	park	metal/plastic	P00011	40.73 N 73.99 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
