Sample ID 	pathogen	s__Bacillus_anthracis	t__Bacillus_anthracis_unclassified	g__Yersinia	s__Yersinia_unclassified
P00064	yersinia	0	0	0.00876	0.00876
P00070	yersinia	0	0	0.01387	0.01387
P00073	yersinia	0	0	0.00852	0.00852
P00102	yersinia	0	0	0.00437	0.00437
P00111	yersinia	0	0	0.01501	0.01501
P00134	anthracis	0.27073	0.27073	0	0
P00164	yersinia	0	0	0.08222	0.08222
P00193	yersinia	0	0	0.02586	0.02586
P00208	yersinia	0	0	0.03255	0.03255
P00214	yersinia	0	0	0.00256	0.00256
P00230	yersinia	0	0	0.01454	0.01454
P00235	yersinia	0	0	0.01627	0.01627
P00239	yersinia	0	0	0.02085	0.02085
P00242	yersinia	0	0	0.00431	0.00431
P00243	yersinia	0	0	0.00567	0.00567
P00275	yersinia	0	0	0.00815	0.00815
P00279	yersinia	0	0	0.0039	0.0039
P00286	yersinia	0	0	0.01104	0.01104
P00294	yersinia	0	0	0.0282	0.0282
P00302	yersinia	0	0	0.00474	0.00474
P00303	yersinia	0	0	0.00929	0.00929
P00306	yersinia	0	0	0.0204	0.0204
P00321	yersinia	0	0	0.01302	0.01302
P00338	yersinia	0	0	0.02722	0.02722
P00347	yersinia	0	0	0.01473	0.01473
P00379	yersinia	0	0	0.0032	0.0032
P00382	yersinia	0	0	0.02204	0.02204
P00391	yersinia	0	0	0.00269	0.00269
P00392	yersinia	0	0	0.06036	0.06036
P00406	yersinia	0	0	0.01108	0.01108
P00416	yersinia	0	0	0.00611	0.00611
P00435	yersinia	0	0	0.00995	0.00995
P00475	yersinia	0	0	0.00513	0.00513
P00476	yersinia	0	0	0.01885	0.01885
P00494	yersinia	0	0	0.01056	0.01056
P00497	anthracis	0.11232	0.11232	0	0
P00506	yersinia	0	0	0.0685	0.0685
P00604	yersinia	0	0	0.00441	0.00441
P00629	yersinia	0	0	0.00481	0.00481
P00653	yersinia	0	0	0.00792	0.00792
P00655	yersinia	0	0	0.02801	0.02801
P00660	yersinia	0	0	0.00711	0.00711
P00665	yersinia	0	0	0.00277	0.00277
P00707	yersinia	0	0	0.01355	0.01355
P00710	yersinia	0	0	0.00317	0.00317
P00718	yersinia	0	0	0.02033	0.02033
P00725	yersinia	0	0	0.00808	0.00808
P00767	yersinia	0	0	0.01155	0.01155
P00771	yersinia	0	0	0.01201	0.01201
P00779	yersinia	0	0	0.02457	0.02457
P00783	yersinia	0	0	0.00652	0.00652
P00803	yersinia	0	0	0.02559	0.02559
P00818	yersinia	0	0	0.0172	0.0172
P00916	yersinia	0	0	0.00936	0.00936
P00992	yersinia	0	0	0.00237	0.00237
P00993	yersinia	0	0	0.02019	0.02019
P00997	yersinia	0	0	0.0065	0.0065
P01002	yersinia	0	0	0.01842	0.01842
P01017	yersinia	0	0	0.00259	0.00259
P01020	yersinia	0	0	0.27157	0.27157
P01022	yersinia	0	0	0.01737	0.01737
P01036	yersinia	0	0	0.00895	0.00895
P01048	yersinia	0	0	0.00438	0.00438
P01052	yersinia	0	0	0.00772	0.00772
P01056	yersinia	0	0	0.00784	0.00784
P01063	yersinia	0	0	0.00444	0.00444
P01079	yersinia	0	0	0.01121	0.01121
P01093	yersinia	0	0	0.01408	0.01408
P01245	yersinia	0	0	0.04937	0.04937
P01270	yersinia	0	0	0.00086	0.00086
P01316	yersinia	0	0	0.28208	0.28208
P01337	yersinia	0	0	0.00466	0.00466
P01376	yersinia	0	0	0.01299	0.01299
P01606	yersinia	0	0	0.04318	0.04318
