anthracis
Study	Min.	1st Qu.	Median	Mean	3rd Qu.	Max
SRR1749070-0.25x	0	0.0000	0.0000	0.4954	0.0000	525
SRR1749070-0.5x	0	0.0000	0.0000	0.6688	1.0000	525
SRR1749070-0x	0	0.0000	0.0000	0.3307	0.0000	524
SRR1749070-1x	0	0.0000	0.0000	1.0151	1.0000	525
SRR1749070-5x	0	0.0000	3.0000	3.7523	6.0000	528


cereus
Study	Min.	1st Qu.	Median	Mean	3rd Qu.	Max
SRR1749070-0.25x	0	0.0000	0.0000	0.4956	0.0000	522
SRR1749070-0.5x	0	0.0000	0.0000	0.6714	1.0000	522
SRR1749070-0x	0	0.0000	0.0000	0.3284	0.0000	521
SRR1749070-1x	0	0.0000	0.0000	1.0226	1.0000	522
SRR1749070-5x	0	0.0000	3.0000	3.8064	6.0000	522


