pXO1
Study	Min.	1st Qu.	Median	Mean	3rd Qu.	Max
SRR1749070-0.25x	0	0.0000	0.0000	0.0368	0.0000	7
SRR1749070-0.5x	0	0.0000	0.0000	0.0522	0.0000	9
SRR1749070-0x	0	0.0000	0.0000	0.0103	0.0000	2
SRR1749070-1x	0	0.0000	0.0000	0.0912	0.0000	16
SRR1749070-5x	0	0.0000	0.0000	0.4261	0.0000	53


pXO2
Study	Min.	1st Qu.	Median	Mean	3rd Qu.	Max
SRR1749070-0.25x	0	0.0000	0.0000	0.2969	0.0000	667
SRR1749070-0.5x	0	0.0000	0.0000	0.3577	0.0000	676
SRR1749070-0x	0	0.0000	0.0000	0.2483	0.0000	662
SRR1749070-1x	0	0.0000	0.0000	0.4805	0.0000	688
SRR1749070-5x	0	0.0000	0.0000	1.3704	0.0000	782


