pMT1
Study	Min.	1st Qu.	Median	Mean	3rd Qu.	Max
SRR1749070-0.25x	0	0.0000	0.0000	0.6975	1.0000	42
SRR1749070-0.5x	0	0.0000	0.0000	1.3538	1.0000	69
SRR1749070-0x	0	0.0000	0.0000	0.0061	0.0000	1
SRR1749070-10x	0	8.0000	11.0000	27.0752	14.0000	981
SRR1749070-15x	0	13.0000	16.0000	40.3352	20.0000	1478
SRR1749070-1x	0	0.0000	1.0000	2.7199	2.0000	128
SRR1749070-20x	0	17.0000	22.0000	53.8796	27.0000	1926
SRR1749070-30x	0	27.0000	32.0000	81.0870	39.0000	2915
SRR1749070-5x	0	4.0000	5.0000	13.5525	7.0000	510


