pMT1
Study	Min.	1st Qu.	Median	Mean	3rd Qu.	Max
SRR1749021	0	0.0000	14.0000	11.3849	19.0000	98
SRR1748663	0	0.0000	0.0000	0.0985	0.0000	65
SRR1749873	0	0.0000	0.0000	0.0836	0.0000	28
SRR1749213	0	0.0000	55.0000	40.5007	75.0000	145
SRR1748884	0	0.0000	0.0000	0.2133	0.0000	168
SRR1748826	0	0.0000	0.0000	1.1846	0.0000	106
SRR1749596	0	0.0000	0.0000	1.1639	0.0000	440
SRR1748869	0	0.0000	0.0000	0.2292	0.0000	102
SRR1749665	0	0.0000	0.0000	0.0120	0.0000	2
SRR1749631	0	0.0000	0.0000	0.0038	0.0000	1
SRR1749572	0	0.0000	0.0000	0.1672	0.0000	53
SRR1749599	0	0.0000	0.0000	0.0008	0.0000	1
SRR1749362	0	0.0000	0.0000	0.0000	0.0000	0
SRR1748865	0	0.0000	0.0000	0.0317	0.0000	68
SRR1749571	0	0.0000	0.0000	0.0556	0.0000	30
SRR1749496	0	0.0000	0.0000	0.0373	0.0000	108
SRR1749635	0	0.0000	2.0000	2.1895	4.0000	12
SRR1749576	0	0.0000	0.0000	2.3044	0.0000	317
SRR1749894	0	0.0000	0.0000	4.4353	0.0000	228
SRR1749366	0	0.0000	0.0000	0.0037	0.0000	9
SRR1749061	0	0.0000	0.0000	0.1918	0.0000	367
SRR1748620	0	0.0000	0.0000	0.1023	0.0000	45
SRR1749062	0	0.0000	0.0000	0.0416	0.0000	119
SRR1748928	0	0.0000	0.0000	0.1682	0.0000	140
SRR1749188	0	0.0000	12.0000	9.6679	17.0000	34
SRR1748994	0	0.0000	0.0000	3.9571	0.0000	268
SRR1748789	0	0.0000	0.0000	0.0057	0.0000	1
SRR1749627	0	0.0000	0.0000	0.5509	0.0000	117
SRR1748831	0	0.0000	0.0000	0.1736	0.0000	25
SRR1748911	0	0.0000	0.0000	1.6493	0.0000	84
SRR1749309	0	0.0000	43.0000	31.3215	55.0000	103
SRR1748835	0	0.0000	0.0000	0.0476	0.0000	31
SRR1748980	0	0.0000	0.0000	8.6626	0.0000	1035
SRR1748838	0	0.0000	0.0000	0.5011	0.0000	64
SRR1748839	0	0.0000	0.0000	0.0153	0.0000	3
SRR1748876	0	0.0000	0.0000	0.6313	0.0000	76
SRR1749835	0	0.0000	0.0000	3.2211	1.0000	193
SRR1749080	0	0.0000	0.0000	0.0138	0.0000	16
SRR1749302	0	0.0000	0.0000	0.2308	0.0000	94
SRR1749249	0	0.0000	0.0000	0.0417	0.0000	110
SRR1749401	0	0.0000	0.0000	0.0054	0.0000	1
SRR1749386	0	0.0000	0.0000	0.0987	0.0000	58
SRR1749239	0	0.0000	0.0000	0.0101	0.0000	1
SRR1749003	0	0.0000	0.0000	0.0108	0.0000	2
SRR1748970	0	0.0000	0.0000	0.0010	0.0000	1
SRR1749817	0	0.0000	0.0000	0.0532	0.0000	122
SRR1749615	0	0.0000	0.0000	0.2114	0.0000	109
SRR1748896	0	0.0000	0.0000	0.0632	0.0000	31
SRR1749933	0	0.0000	0.0000	4.1335	0.0000	445
SRR1748743	0	0.0000	0.0000	0.0873	0.0000	26
SRR1749237	0	0.0000	0.0000	0.5826	0.0000	101
SRR1749294	0	0.0000	0.0000	0.1598	0.0000	51
SRR1749244	0	0.0000	0.0000	0.8779	1.0000	12
SRR1748979	0	0.0000	0.0000	0.0365	0.0000	17
SRR1748892	0	0.0000	0.0000	0.1573	0.0000	42
SRR1748893	0	0.0000	0.0000	0.0371	0.0000	17
SRR1748804	0	0.0000	0.0000	0.8788	0.0000	75
SRR1749651	0	0.0000	0.0000	0.0146	0.0000	3
SRR1749291	0	0.0000	0.0000	0.0479	0.0000	15
SRR1748670	0	0.0000	0.0000	0.0094	0.0000	2
SRR1749601	0	0.0000	0.0000	0.2634	0.0000	69
SRR1749581	0	0.0000	0.0000	0.2978	0.0000	58
SRR1749092	0	0.0000	0.0000	0.0043	0.0000	1
SRR1748967	0	0.0000	0.0000	0.7829	0.0000	117
SRR1748611	0	0.0000	0.0000	2.6146	0.0000	302
SRR1748810	0	0.0000	0.0000	0.0992	0.0000	51
SRR1750038	0	0.0000	0.0000	0.6586	0.0000	350
SRR1749354	0	0.0000	0.0000	1.5554	0.0000	146
SRR1748618	0	0.0000	0.0000	0.0287	0.0000	14
SRR1749642	0	0.0000	35.0000	27.1306	50.0000	105
SRR1749350	0	0.0000	0.0000	0.0094	0.0000	9
SRR1748936	0	0.0000	0.0000	0.4537	0.0000	183


