pMT1
Sample	ymt
SRR1749615	0
SRR1748831	0
SRR1749302	2
SRR1749496	0
SRR1749596	0
SRR1748893	0
SRR1749309	0
SRR1748896	0
SRR1749362	0
SRR1748994	0
SRR1749244	0
SRR1749366	0
SRR1749401	0
SRR1749249	0
SRR1749665	0
SRR1748970	0
SRR1748876	0
SRR1748838	2
SRR1748839	0
SRR1749642	0
SRR1748611	0
SRR1748620	0
SRR1748663	0
SRR1749627	0
SRR1749817	0
SRR1748618	0
SRR1749873	0
SRR1748835	0
SRR1748743	0
SRR1749835	0
SRR1749188	0
SRR1749581	0
SRR1750038	2
SRR1748967	0
SRR1749386	0
SRR1749571	0
SRR1749572	0
SRR1749080	0
SRR1748789	0
SRR1749576	0
SRR1749894	0
SRR1748892	0
SRR1749213	0
SRR1748884	0
SRR1749354	0
SRR1749601	0
SRR1748980	0
SRR1749933	0
SRR1749062	0
SRR1749239	0
SRR1749061	0
SRR1749651	0
SRR1749021	0
SRR1749003	0
SRR1748865	0
SRR1749294	0
SRR1749631	0
SRR1749599	0
SRR1748928	0
SRR1749291	0
SRR1749635	0
SRR1748804	0
SRR1749350	0
SRR1748810	0
SRR1748869	0
SRR1748826	0
SRR1748911	0
SRR1749237	0
SRR1748670	0
SRR1748936	10
SRR1749092	0
SRR1748979	0

