pXO1
Study	Min.	1st Qu.	Median	Mean	3rd Qu.	Max
SRR1749070-0.25x	0	0.0000	1.0000	1.2305	2.0000	13
SRR1749070-0.5x	0	1.0000	2.0000	2.4250	3.0000	20
SRR1749070-1x	0	3.0000	4.0000	4.8863	6.0000	36
SRR1749070-5x	0	19.0000	23.0000	24.3656	28.0000	175
SRR1749070-0x	0	0.0000	0.0000	0.0103	0.0000	2


pXO2
Study	Min.	1st Qu.	Median	Mean	3rd Qu.	Max
SRR1749070-0.25x	0	0.0000	0.0000	0.7916	1.0000	667
SRR1749070-0.5x	0	0.0000	1.0000	1.3448	2.0000	667
SRR1749070-1x	0	1.0000	2.0000	2.4348	3.0000	667
SRR1749070-5x	0	8.0000	10.0000	11.4254	13.0000	670
SRR1749070-0x	0	0.0000	0.0000	0.2483	0.0000	662


