Sample	Total Queried Kmers	Hits	Percent	Singleton Hits	Singleton Percent	Hits (excluding singletons)	Percent(excluding singletons)	Min Count	Mean Count	Median Count	Max Count
NC_009674	14954	3411	0.23	2864	0.84	547	0.04	0	0.27	0.00	4
NC_011658	14954	3720	0.25	3176	0.85	544	0.04	0	0.29	0.00	5
NC_014335	14954	3788	0.25	3184	0.84	604	0.04	0	0.30	0.00	6
NC_005957	14954	4053	0.27	3300	0.81	753	0.05	0	0.33	0.00	5
NC_007530	14954	4371	0.29	3820	0.87	551	0.04	0	0.33	0.00	4
NC_011969	14954	3537	0.24	3202	0.91	335	0.02	0	0.26	0.00	7
NC_008600	14954	3368	0.23	2843	0.84	525	0.04	0	0.27	0.00	9
NC_005945	14954	3629	0.24	3041	0.84	588	0.04	0	0.29	0.00	4
NC_012659	14954	3560	0.24	2990	0.84	570	0.04	0	0.28	0.00	3
NC_012472	14954	4144	0.28	3450	0.83	694	0.05	0	0.33	0.00	6
NC_010184	14954	3450	0.23	2937	0.85	513	0.03	0	0.27	0.00	7
NC_003997	14954	3726	0.25	3075	0.83	651	0.04	0	0.30	0.00	5
NC_004722	14954	3958	0.26	3277	0.83	681	0.05	0	0.32	0.00	5
NC_006274	14954	3954	0.26	3610	0.91	344	0.02	0	0.29	0.00	8
NC_003909	14954	3514	0.23	2948	0.84	566	0.04	0	0.28	0.00	12
NC_012581	14954	3325	0.22	2852	0.86	473	0.03	0	0.26	0.00	8
NC_014171	14954	3825	0.26	3167	0.83	658	0.04	0	0.31	0.00	6
NC_011725	14954	3593	0.24	2983	0.83	610	0.04	0	0.29	0.00	8
NC_011773	14954	3427	0.23	2896	0.85	531	0.04	0	0.27	0.00	3
NC_011772	14954	3809	0.25	3357	0.88	452	0.03	0	0.29	0.00	4
NC_016771	14954	3755	0.25	3193	0.85	562	0.04	0	0.30	0.00	8
NC_016779	14954	4017	0.27	3276	0.82	741	0.05	0	0.33	0.00	7
NC_017729	14954	3710	0.25	2966	0.80	744	0.05	0	0.30	0.00	5
NC_017200	14954	3914	0.26	3450	0.88	464	0.03	0	0.30	0.00	6
NC_017208	14954	4090	0.27	3580	0.88	510	0.03	0	0.31	0.00	4
NC_018491	14954	3822	0.26	3216	0.84	606	0.04	0	0.30	0.00	5
NC_018500	14954	4200	0.28	3478	0.83	722	0.05	0	0.33	0.00	5
NC_018693	14954	3466	0.23	2961	0.85	505	0.03	0	0.27	0.00	4
NC_018877	14954	3430	0.23	2901	0.85	529	0.04	0	0.27	0.00	10
NC_018508	14954	3773	0.25	3293	0.87	480	0.03	0	0.29	0.00	4
NC_020238	14954	3904	0.26	3280	0.84	624	0.04	0	0.31	0.00	3
NC_020376	14954	3321	0.22	2704	0.81	617	0.04	0	0.27	0.00	6
NC_022781	14954	3616	0.24	3069	0.85	547	0.04	0	0.28	0.00	6
NZ_CP001970	14954	3667	0.25	3209	0.88	458	0.03	0	0.28	0.00	4
NZ_CP001974	14954	3450	0.23	2963	0.86	487	0.03	0	0.27	0.00	4
NZ_CP004858	14954	3571	0.24	3030	0.85	541	0.04	0	0.28	0.00	6
NZ_AP014864	14954	3443	0.23	3023	0.88	420	0.03	0	0.26	0.00	3
