Sample	Total Queried Kmers	Hits	Percent	Singleton Hits	Singleton Percent	Hits (excluding singletons)	Percent(excluding singletons)	Min Count	Mean Count	Median Count	Max Count
NC_015634	14954	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_016023	14954	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_009848	14954	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_013791	14954	16	0.00	16	1.00	0	0.00	0	0.00	0.00	1
NC_016784	14954	3	0.00	3	1.00	0	0.00	0	0.00	0.00	1
NC_014551	14954	1	0.00	1	1.00	0	0.00	0	0.00	0.00	1
NC_009725	14954	7	0.00	7	1.00	0	0.00	0	0.00	0.00	1
NC_014976	14954	18	0.00	18	1.00	0	0.00	0	0.00	0.00	1
NC_014479	14954	4	0.00	4	1.00	0	0.00	0	0.00	0.00	1
NC_017061	14954	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_014639	14954	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_016047	14954	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_006270	14954	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_006322	14954	1	0.00	1	1.00	0	0.00	0	0.00	0.00	1
NC_002570	14954	2	0.00	2	1.00	0	0.00	0	0.00	0.00	1
NC_000964	14954	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_006582	14954	1	0.00	1	1.00	0	0.00	0	0.00	0.00	1
NC_014829	14954	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_014019	14954	13	0.00	13	1.00	0	0.00	0	0.00	0.00	1
NC_014103	14954	6	0.00	6	1.00	0	0.00	0	0.00	0.00	1
NC_017138	14954	10	0.00	10	1.00	0	0.00	0	0.00	0.00	1
NC_017188	14954	3	0.00	3	1.00	0	0.00	0	0.00	0.00	1
NC_017190	14954	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_017191	14954	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_017196	14954	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_017195	14954	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_017743	14954	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_017912	14954	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_018520	14954	1	0.00	1	1.00	0	0.00	0	0.00	0.00	1
NC_019842	14954	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_020244	14954	4	0.00	4	1.00	0	0.00	0	0.00	0.00	1
NC_019896	14954	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_020272	14954	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_020410	14954	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_020832	14954	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_020507	14954	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_021171	14954	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_021362	14954	4	0.00	4	1.00	0	0.00	0	0.00	0.00	1
NC_022075	14954	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_022081	14954	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_022524	14954	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_022530	14954	4	0.00	4	1.00	0	0.00	0	0.00	0.00	1
NC_022653	14954	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_022898	14954	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_023073	14954	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NZ_AP012496	14954	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
