Sample	Total Queried Kmers	Hits	Percent	Singleton Hits	Singleton Percent	Hits (excluding singletons)	Percent(excluding singletons)	Min Count	Mean Count	Median Count	Max Count
NC_009674	14954	14954	1.00	0	0.00	14954	1.00	2	29.50	28.00	230
NC_007530	14954	14954	1.00	0	0.00	14954	1.00	13	29.27	28.00	319
NC_012659	14954	14954	1.00	0	0.00	14954	1.00	10	29.45	28.00	294
NC_012581	14954	14954	1.00	0	0.00	14954	1.00	11	29.16	28.00	319
NC_011969	14954	14954	1.00	0	0.00	14954	1.00	11	29.78	28.00	424
NC_014335	14954	14954	1.00	0	0.00	14954	1.00	11	29.82	28.00	295
NC_012472	14954	14954	1.00	0	0.00	14954	1.00	10	29.59	28.00	382
NC_008600	14954	14954	1.00	0	0.00	14954	1.00	10	29.83	28.00	388
NC_010184	14954	14954	1.00	0	0.00	14954	1.00	11	29.93	28.00	748
NC_005945	14954	14954	1.00	0	0.00	14954	1.00	13	29.18	28.00	313
NC_005957	14954	14954	1.00	0	0.00	14954	1.00	12	30.00	28.00	419
NC_006274	14954	14954	1.00	0	0.00	14954	1.00	9	29.51	28.00	344
NC_003909	14954	14954	1.00	0	0.00	14954	1.00	11	29.82	28.00	786
NC_011658	14954	14954	1.00	0	0.00	14954	1.00	7	29.83	28.00	530
NC_003997	14954	14954	1.00	0	0.00	14954	1.00	11	29.53	28.00	298
NC_011725	14954	14954	1.00	0	0.00	14954	1.00	11	30.03	28.00	418
NC_014171	14954	14954	1.00	0	0.00	14954	1.00	10	29.96	28.00	428
NC_011773	14954	14954	1.00	0	0.00	14954	1.00	10	29.22	28.00	324
NC_011772	14954	14954	1.00	0	0.00	14954	1.00	11	29.71	28.00	447
NC_004722	14954	14954	1.00	0	0.00	14954	1.00	13	30.26	28.00	349
NC_016771	14954	14954	1.00	0	0.00	14954	1.00	11	29.61	28.00	537
NC_022781	14954	14954	1.00	0	0.00	14954	1.00	10	29.76	28.00	445
NC_016779	14954	14954	1.00	0	0.00	14954	1.00	13	29.69	28.00	343
NC_018491	14954	14954	1.00	0	0.00	14954	1.00	9	29.70	28.00	638
NC_017729	14954	14954	1.00	0	0.00	14954	1.00	11	29.59	28.00	291
NC_017200	14954	14954	1.00	0	0.00	14954	1.00	11	30.01	28.00	533
NZ_CP001974	14954	14954	1.00	0	0.00	14954	1.00	10	29.21	28.00	302
NZ_CP001970	14954	14954	1.00	0	0.00	14954	1.00	9	29.74	28.00	311
NC_018693	14954	14954	1.00	0	0.00	14954	1.00	12	29.25	28.00	621
NC_017208	14954	14954	1.00	0	0.00	14954	1.00	11	29.69	28.00	452
NC_018508	14954	14954	1.00	0	0.00	14954	1.00	12	29.42	28.00	414
NC_018877	14954	14954	1.00	0	0.00	14954	1.00	12	29.45	27.00	433
NC_020376	14954	14954	1.00	0	0.00	14954	1.00	9	29.42	28.00	410
NZ_CP006742	14954	14954	1.00	0	0.00	14954	1.00	12	29.66	28.00	252
NC_020238	14954	14954	1.00	0	0.00	14954	1.00	9	29.53	28.00	353
NZ_CP004858	14954	14954	1.00	0	0.00	14954	1.00	12	29.57	28.00	357
NZ_CP004870	14954	14954	1.00	0	0.00	14954	1.00	13	29.15	28.00	349
NC_018500	14954	14954	1.00	0	0.00	14954	1.00	12	29.83	28.00	370
NZ_AP014864	14954	14954	1.00	0	0.00	14954	1.00	7	29.89	28.00	341
NC_022873	14954	14954	1.00	0	0.00	14954	1.00	12	29.77	28.00	430
NZ_CP007607	14954	14954	1.00	0	0.00	14954	1.00	12	29.53	28.00	386
NZ_CP007618	14954	14954	1.00	0	0.00	14954	1.00	12	29.70	28.00	296
NZ_CP007626	14954	14954	1.00	0	0.00	14954	1.00	11	29.67	28.00	529
NZ_CP007666	14954	14954	1.00	0	0.00	14954	1.00	11	29.23	28.00	315
NZ_CP008846	14954	14954	1.00	0	0.00	14954	1.00	12	29.28	28.00	268
NZ_CP009315	14954	14954	1.00	0	0.00	14954	1.00	13	29.89	28.00	266
NZ_CP009325	14954	14954	1.00	0	0.00	14954	1.00	12	29.36	28.00	262
NZ_CP009300	14954	14954	1.00	0	0.00	14954	1.00	12	29.50	28.00	401
NZ_CP009318	14954	14954	1.00	0	0.00	14954	1.00	12	29.74	28.00	390
NZ_CP009328	14954	14954	1.00	0	0.00	14954	1.00	11	29.30	27.00	332
NZ_CP009331	14954	14954	1.00	0	0.00	14954	1.00	12	29.67	28.00	328
NZ_CP009341	14954	14954	1.00	0	0.00	14954	1.00	10	29.49	28.00	333
NZ_CP009335	14954	14954	1.00	0	0.00	14954	1.00	13	29.58	28.00	388
NZ_CP009369	14954	14954	1.00	0	0.00	14954	1.00	12	29.72	28.00	532
NZ_CP009464	14954	14954	1.00	0	0.00	14954	1.00	13	29.38	28.00	287
NZ_CP009351	14954	14954	1.00	0	0.00	14954	1.00	11	29.75	28.00	404
NZ_CP009476	14954	14954	1.00	0	0.00	14954	1.00	10	29.55	28.00	328
NZ_CP009541	14954	14954	1.00	0	0.00	14954	1.00	11	29.20	28.00	292
NZ_CP009544	14954	14954	1.00	0	0.00	14954	1.00	10	29.21	27.00	280
NZ_CP009590	14954	14954	1.00	0	0.00	14954	1.00	8	29.82	28.00	460
NZ_CP009596	14954	14954	1.00	0	0.00	14954	1.00	9	29.84	28.00	360
NZ_CP009598	14954	14952	1.00	7	0.00	14945	1.00	0	29.30	28.00	290
NZ_CP009600	14954	14954	1.00	0	0.00	14954	1.00	10	29.77	28.00	387
NZ_CP009605	14954	14954	1.00	0	0.00	14954	1.00	12	29.68	28.00	369
NZ_CP009628	14954	14954	1.00	0	0.00	14954	1.00	12	30.20	28.00	621
NZ_CP009686	14954	14954	1.00	0	0.00	14954	1.00	9	29.89	28.00	369
NZ_CP009641	14954	14954	1.00	0	0.00	14954	1.00	10	29.79	28.00	398
NZ_CP009651	14954	14954	1.00	0	0.00	14954	1.00	11	29.92	28.00	500
NZ_CP009697	14954	14954	1.00	0	0.00	14954	1.00	12	29.36	28.00	243
NZ_CP009700	14954	14954	1.00	0	0.00	14954	1.00	11	28.87	27.00	260
NZ_CP009692	14954	14954	1.00	0	0.00	14954	1.00	12	29.77	28.00	776
NZ_CP009720	14954	14954	1.00	0	0.00	14954	1.00	10	29.99	28.00	375
NZ_CP009902	14954	14954	1.00	0	0.00	14954	1.00	9	29.66	28.00	316
NZ_CP009968	14954	14954	1.00	0	0.00	14954	1.00	12	29.98	28.00	390
NZ_CP009981	14954	14954	1.00	0	0.00	14954	1.00	10	29.51	28.00	319
NZ_CP009746	14954	14954	1.00	0	0.00	14954	1.00	9	29.10	28.00	745
NZ_CP010088	14954	14954	1.00	0	0.00	14954	1.00	10	29.65	28.00	388
NZ_CP009941	14954	14954	1.00	0	0.00	14954	1.00	12	29.68	27.00	494
NZ_CP010005	14954	14954	1.00	0	0.00	14954	1.00	8	29.79	28.00	369
NZ_CP010089	14954	14954	1.00	0	0.00	14954	1.00	10	30.75	28.00	361
NZ_CP010106	14954	14954	1.00	0	0.00	14954	1.00	12	29.91	28.00	340
NZ_CP010322	14954	14954	1.00	0	0.00	14954	1.00	10	29.13	28.00	312
NZ_CP010792	14954	14954	1.00	0	0.00	14954	1.00	12	29.47	28.00	291
NZ_CP010852	14954	14954	1.00	0	0.00	14954	1.00	11	29.31	28.00	323
NZ_CP010577	14954	14954	1.00	0	0.00	14954	1.00	9	29.97	28.00	446
NZ_CP012099	14954	14954	1.00	0	0.00	14954	1.00	11	29.72	28.00	507
NZ_CP012519	14954	14954	1.00	0	0.00	14954	1.00	11	29.23	28.00	304
NZ_CP013274	14954	14954	1.00	0	0.00	14954	1.00	14	30.15	28.00	393
NZ_CP014179	14954	14954	1.00	0	0.00	14954	1.00	11	29.18	28.00	304
NZ_CP012483	14954	14954	1.00	0	0.00	14954	1.00	12	29.29	28.00	346
NZ_CP013055	14954	14954	1.00	0	0.00	14954	1.00	12	29.54	28.00	340
NZ_CP011349	14954	14954	1.00	0	0.00	14954	1.00	11	30.12	28.00	386
NZ_CP007512	14954	14954	1.00	0	0.00	14954	1.00	10	29.29	27.00	363
