Sample	Total Queried Kmers	Hits	Percent	Singleton Hits	Singleton Percent	Hits (excluding singletons)	Percent(excluding singletons)	Min Count	Mean Count	Median Count	Max Count
NC_009674	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_003997	1790	776	0.43	586	0.76	190	0.11	0	0.56	0.00	4
NC_005945	1790	739	0.41	557	0.75	182	0.10	0	0.53	0.00	5
NC_012659	1790	770	0.43	565	0.73	205	0.11	0	0.57	0.00	4
NC_011969	1790	1	0.00	1	1.00	0	0.00	0	0.00	0.00	1
NC_011658	1790	1	0.00	1	1.00	0	0.00	0	0.00	0.00	1
NC_010184	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_006274	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_012472	1790	1	0.00	1	1.00	0	0.00	0	0.00	0.00	1
NC_014335	1790	1	0.00	1	1.00	0	0.00	0	0.00	0.00	1
NC_012581	1790	680	0.38	529	0.78	151	0.08	0	0.48	0.00	4
NC_003909	1790	1	0.00	1	1.00	0	0.00	0	0.00	0.00	1
NC_007530	1790	742	0.41	567	0.76	175	0.10	0	0.53	0.00	4
NC_005957	1790	1	0.00	1	1.00	0	0.00	0	0.00	0.00	1
NC_008600	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_011773	1790	3	0.00	3	1.00	0	0.00	0	0.00	0.00	1
NC_011725	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_014171	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_004722	1790	1	0.00	1	1.00	0	0.00	0	0.00	0.00	1
NC_011772	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_016771	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_016779	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_017729	1790	732	0.41	548	0.75	184	0.10	0	0.53	0.00	5
NC_017200	1790	1	0.00	1	1.00	0	0.00	0	0.00	0.00	1
NC_017208	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_018491	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_018693	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_018877	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_018508	1790	1	0.00	1	1.00	0	0.00	0	0.00	0.00	1
NC_020238	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_018500	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_022781	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_020376	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NZ_CP001974	1790	718	0.40	543	0.76	175	0.10	0	0.52	0.00	4
NZ_CP001970	1790	748	0.42	543	0.73	205	0.11	0	0.56	0.00	4
NZ_CP004858	1790	1	0.00	1	1.00	0	0.00	0	0.00	0.00	1
NZ_AP014864	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_022873	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NZ_CP004870	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NZ_CP006742	1790	654	0.37	496	0.76	158	0.09	0	0.47	0.00	5
NZ_CP007607	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NZ_CP007618	1790	487	0.27	340	0.70	147	0.08	0	0.37	0.00	4
NZ_CP007626	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NZ_CP007666	1790	701	0.39	512	0.73	189	0.11	0	0.52	0.00	5
NZ_CP008846	1790	623	0.35	451	0.72	172	0.10	0	0.46	0.00	5
NZ_CP009315	1790	697	0.39	522	0.75	175	0.10	0	0.51	0.00	4
NZ_CP009300	1790	2	0.00	2	1.00	0	0.00	0	0.00	0.00	1
NZ_CP009318	1790	4	0.00	4	1.00	0	0.00	0	0.00	0.00	1
NZ_CP009325	1790	719	0.40	525	0.73	194	0.11	0	0.53	0.00	5
NZ_CP009328	1790	691	0.39	500	0.72	191	0.11	0	0.52	0.00	4
NZ_CP009331	1790	716	0.40	535	0.75	181	0.10	0	0.52	0.00	4
