Sample	Total Queried Kmers	Hits	Percent	Singleton Hits	Singleton Percent	Hits (excluding singletons)	Percent(excluding singletons)	Min Count	Mean Count	Median Count	Max Count
NC_009674	14954	14882	1.00	306	0.02	14576	0.97	0	5.82	5.00	48
NC_007530	14954	14900	1.00	271	0.02	14629	0.98	0	6.05	6.00	66
NC_012659	14954	14831	0.99	271	0.02	14560	0.97	0	5.70	5.00	67
NC_014335	14954	14914	1.00	320	0.02	14594	0.98	0	6.04	6.00	70
NC_003997	14954	14841	0.99	366	0.02	14475	0.97	0	5.68	5.00	61
NC_012581	14954	14927	1.00	396	0.03	14531	0.97	0	5.74	5.00	46
NC_005945	14954	14907	1.00	275	0.02	14632	0.98	0	6.04	6.00	52
NC_005957	14954	14889	1.00	404	0.03	14485	0.97	0	6.05	6.00	89
NC_011969	14954	14931	1.00	260	0.02	14671	0.98	0	5.94	6.00	90
NC_012472	14954	14894	1.00	282	0.02	14612	0.98	0	5.91	5.00	73
NC_010184	14954	14913	1.00	225	0.02	14688	0.98	0	5.99	6.00	140
NC_011773	14954	1NC_006274	1790	8	0.00	8	1.00	0	0.00	0	0.00	0.NC_00NC_011658	1790	4	0.00	4	1.00	0	0.00	0	0.00	0.00	1
NC_014171	1790	3	0.00	3	1.00	0	0.00	0	0.00	0.00	1
NC_003909	1790	9	0.01	9	1.00	0	0.00	0	0.01	0.00	1
NC_011725	1790	1	0.00	1	1.00	0	0.00	0	0.00	0.00	1
NC_008600	1790	18	0.01	18	1.00	0	0.00	0	0.01	0.00	1
NC_011772	1790	1	0.00	1	1.00	0	0.00	0	0.00	0.00	1
NC_016771	1790	5	0.00	5	1.00	0	0.00	0	0.00	0.00	1
NC_016779	1790	22	0.01	22	1.00	0	0.00	0	0.01	0.00	1
NC_017729	1790	1659	0.93	36	0.02	1623	0.91	0	5.12	5.00	14
NC_018491	1790	10	0.01	10	1.00	0	0.00	0	0.01	0.00	1
NC_017200	1790	7	0.00	7	1.00	0	0.00	0	0.00	0.00	1
NC_022781	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_017208	1790	1	0.00	1	1.00	0	0.00	0	0.00	0.00	1
NC_018693	1790	2	0.00	2	1.00	0	0.00	0	0.00	0.00	1
NC_018508	1790	5	0.00	5	1.00	0	0.00	0	0.00	0.00	1
NC_018877	1790	2	0.00	2	1.00	0	0.00	0	0.00	0.00	1
NC_020376	1790	2	0.00	2	1.00	0	0.00	0	0.00	0.00	1
NC_020238	1790	4	0.00	4	1.00	0	0.00	0	0.00	0.00	1
NC_018500	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NZ_CP001970	1790	1747	0.98	39	0.02	1708	0.95	0	5.52	5.00	14
NZ_CP001974	1790	1745	0.97	45	0.03	1700	0.95	0	5.36	5.00	14
NZ_CP004858	1790	2	0.00	2	1.00	0	0.00	0	0.00	0.00	1
NZ_CP004870	1790	4	0.00	4	1.00	0	0.00	0	0.00	0.00	1
NZ_AP014864	1790	5	0.00	5	1.00	0	0.00	0	0.00	0.00	1
NC_022873	1790	4	0.00	4	1.00	0	0.00	0	0.00	0.00	1
NZ_CP006742	1790	1464	0.82	26	0.02	1438	0.80	0	4.49	5.00	13
NZ_CP007607	1790	6	0.00	6	1.00	0	0.00	0	0.00	0.00	1
NZ_CP007618	1790	1172	0.65	45	0.04	1127	0.63	0	3.55	4.00	15
NZ_CP007626	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NZ_CP007666	1790	1663	0.93	42	0.03	1621	0.91	0	5.12	5.00	15
NZ_CP008846	1790	1470	0.82	33	0.02	1437	0.80	0	4.52	5.00	14
NZ_CP009315	1790	1673	0.93	32	0.02	1641	0.92	0	5.26	5.00	16
NZ_CP009300	1790	14	0.01	14	1.00	0	0.00	0	0.01	0.00	1
NZ_CP009318	1790	13	0.01	13	1.00	0	0.00	0	0.01	0.00	1
NZ_CP009325	1790	1667	0.93	35	0.02	1632	0.91	0	5.08	5.00	16
NZ_CP009328	1790	1661	0.93	37	0.02	1624	0.91	0	5.19	5.00	15
NZ_CP009335	1790	12	0.01	12	1.00	0	0.00	0	0.01	0.00	1
NZ_CP009331	1790	1645	0.92	47	0.03	1598	0.89	0	5.00	5.00	13
NZ_CP009341	1790	1698	0.95	36	0.02	1662	0.93	0	5.31	5.00	14
NZ_CP009351	1790	3	0.00	3	1.00	0	0.00	0	0.00	0.00	1
NZ_CP009369	1790	6	0.00	6	1.00	0	0.00	0	0.00	0.00	1
NZ_CP009464	1790	1661	0.93	35	0.02	1626	0.91	0	5.20	5.00	14
NZ_CP009476	1790	1667	0.93	40	0.02	1627	0.91	0	5.25	5.00	18
NZ_CP009541	1790	1743	0.97	35	0.02	1708	0.95	0	5.51	5.00	16
NZ_CP009544	1790	1695	0.95	31	0.02	1664	0.93	0	5.21	5.00	14
NZ_CP009590	1790	7	0.00	7	1.00	0	0.00	0	0.00	0.00	1
NZ_CP009596	1790	14	0.01	14	1.00	0	0.00	0	0.01	0.00	1
NZ_CP009598	1790	1698	0.95	41	0.02	1657	0.93	0	5.18	5.00	15
NZ_CP009600	1790	20	0.01	20	1.00	0	0.00	0	0.01	0.00	1
NZ_CP009605	1790	18	0.01	18	1.00	0	0.00	0	0.01	0.00	1
NZ_CP009628	1790	12	0.01	12	1.00	0	0.00	0	0.01	0.00	1
NZ_CP009641	1790	17	0.01	17	1.00	0	0.00	0	0.01	0.00	1
NZ_CP009651	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NZ_CP009692	1790	1	0.00	1	1.00	0	0.00	0	0.00	0.00	1
NZ_CP009686	1790	1	0.00	1	1.00	0	0.00	0	0.00	0.00	1
NZ_CP009697	1790	1471	0.82	42	0.03	1429	0.80	0	4.56	5.00	16
NZ_CP009700	1790	1470	0.82	39	0.03	1431	0.80	0	4.58	5.00	15
NZ_CP009720	1790	27	0.02	27	1.00	0	0.00	0	0.02	0.00	1
NZ_CP009746	1790	2	0.00	2	1.00	0	0.00	0	0.00	0.00	1
NZ_CP009902	1790	1170	0.65	32	0.03	1138	0.64	0	3.64	4.00	14
NZ_CP009941	1790	6	0.00	6	1.00	0	0.00	0	0.00	0.00	1
NZ_CP009968	1790	16	0.01	16	1.00	0	0.00	0	0.01	0.00	1
NZ_CP009981	1790	1785	1.00	42	0.02	1743	0.97	0	5.53	5.00	16
NZ_CP010088	1790	19	0.01	19	1.00	0	0.00	0	0.01	0.00	1
NZ_CP010005	1790	5	0.00	5	1.00	0	0.00	0	0.00	0.00	1
NZ_CP010089	1790	6	0.00	6	1.00	0	0.00	0	0.00	0.00	1
NZ_CP010106	1790	2	0.00	2	1.00	0	0.00	0	0.00	0.00	1
NZ_CP010322	1790	1668	0.93	32	0.02	1636	0.91	0	5.25	5.00	15
NZ_CP010792	1790	1776	0.99	57	0.03	1719	0.96	0	5.56	5.00	14
NZ_CP010577	1790	4	0.00	4	1.00	0	0.00	0	0.00	0.00	1
NZ_CP010852	1790	1656	0.93	38	0.02	1618	0.90	0	5.10	5.00	14
NZ_CP012099	1790	5	0.00	5	1.00	0	0.00	0	0.00	0.00	1
NZ_CP012519	1790	1673	0.93	34	0.02	1639	0.92	0	5.14	5.00	13
NZ_CP012483	1790	6	0.00	6	1.00	0	0.00	0	0.00	0.00	1
NZ_CP011349	1790	5	0.00	5	1.00	0	0.00	0	0.00	0.00	1
NZ_CP013055	1790	3	0.00	3	1.00	0	0.00	0	0.00	0.00	1
NZ_CP013274	1790	3	0.00	3	1.00	0	0.00	0	0.00	0.00	1
NZ_CP014179	1790	1749	0.98	44	0.03	1705	0.95	0	5.44	5.00	14
NZ_CP007512	1790	1	0.00	1	1.00	0	0.00	0	0.00	0.00	1
08	5.00	63
NZ_CP010106	14954	14890	1.00	413	0.03	14477	0.97	0	5.85	5.00	87
NZ_CP010322	14954	14911	1.00	299	0.02	14612	0.98	0	5.92	6.00	60
NZ_CP010792	14954	14927	1.00	209	0.01	14718	0.98	0	5.91	6.00	49
NZ_CP010577	14954	14904	1.00	288	0.02	14616	0.98	0	6.03	5.00	88
NZ_CP010852	14954	14913	1.00	225	0.02	14688	0.98	0	5.77	5.00	83
NZ_CP012099	14954	14888	1.00	290	0.02	14598	0.98	0	5.93	5.00	97
NZ_CP012519	14954	14918	1.00	320	0.02	14598	0.98	0	5.80	5.00	57
NZ_CP012483	14954	14897	1.00	269	0.02	14628	0.98	0	6.02	6.00	70
NZ_CP011349	14954	14885	1.00	258	0.02	14627	0.98	0	5.92	5.00	62
NZ_CP013055	14954	14917	1.00	363	0.02	14554	0.97	0	5.76	5.00	84
NZ_CP013274	14954	14925	1.00	395	0.03	14530	0.97	0	5.84	5.00	95
NZ_CP014179	14954	14911	1.00	354	0.02	14557	0.97	0	5.95	6.00	63
NZ_CP007512	14954	14923	1.00	292	0.02	14631	0.98	0	5.96	6.00	75
