Sample	Total Queried Kmers	Hits	Percent	Singleton Hits	Singleton Percent	Hits (excluding singletons)	Percent(excluding singletons)	Min Count	Mean Count	Median Count	Max Count
NC_009674	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_011658	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_012659	1790	221	0.12	201	0.91	20	0.01	0	0.13	0.00	2
NC_005957	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_011969	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_012472	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_003997	1790	211	0.12	201	0.95	10	0.01	0	0.12	0.00	2
NC_010184	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_004722	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_014335	1790	1	0.00	1	1.00	0	0.00	0	0.00	0.00	1
NC_008600	1790	1	0.00	1	1.00	0	0.00	0	0.00	0.00	1
NC_005945	1790	209	0.12	197	0.94	12	0.01	0	0.12	0.00	3
NC_006274	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_011725	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_012581	1790	225	0.13	208	0.92	17	0.01	0	0.14	0.00	3
NC_014171	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_003909	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_007530	1790	239	0.13	219	0.92	20	0.01	0	0.14	0.00	2
NC_011773	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_011772	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_016771	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_016779	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_017729	1790	222	0.12	212	0.95	10	0.01	0	0.13	0.00	2
NC_017200	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_017208	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_018491	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_018500	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_018693	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_018508	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_018877	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_020238	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_020376	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_022781	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NZ_CP001970	1790	218	0.12	199	0.91	19	0.01	0	0.13	0.00	3
NZ_CP004858	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NZ_CP001974	1790	219	0.12	207	0.95	12	0.01	0	0.13	0.00	2
NZ_AP014864	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_022873	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NZ_CP004870	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NZ_CP006742	1790	184	0.10	174	0.95	10	0.01	0	0.11	0.00	2
NZ_CP007607	1790	1	0.00	1	1.00	0	0.00	0	0.00	0.00	1
NZ_CP007618	1790	147	0.08	141	0.96	6	0.00	0	0.09	0.00	2
NZ_CP007626	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NZ_CP007666	1790	233	0.13	218	0.94	15	0.01	0	0.14	0.00	3
NZ_CP008846	1790	183	0.10	166	0.91	17	0.01	0	0.11	0.00	3
NZ_CP009300	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NZ_CP009315	1790	224	0.13	205	0.92	19	0.01	0	0.14	0.00	2
NZ_CP009318	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NZ_CP009325	1790	224	0.13	204	0.91	20	0.01	0	0.14	0.00	2
NZ_CP009328	1790	203	0.11	191	0.94	12	0.01	0	0.12	0.00	2
NZ_CP009331	1790	234	0.13	220	0.94	14	0.01	0	0.14	0.00	2
NZ_CP009335	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NZ_CP009341	1790	267	0.15	259	0.97	8	0.00	0	0.15	0.00	2
NZ_CP009351	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NZ_CP009369	1790	1	0.00	1	1.00	0	0.00	0	0.00	0.00	1
NZ_CP009464	1790	197	0.11	184	0.93	13	0.01	0	0.12	0.00	3
NZ_CP009476	1790	202	0.11	190	0.94	12	0.01	0	0.12	0.00	2
