Sample	Total Queried Kmers	Hits	Percent	Singleton Hits	Singleton Percent	Hits (excluding singletons)	Percent(excluding singletons)	Min Count	Mean Count	Median Count	Max Count
NC_015634	14954	16	0.00	8	0.50	8	0.00	0	0.00	0.00	NCNC_016023	14954	15	0.00	1	0.07	14	0.00	0	0.00	0.NC_00NC_009848	14954	16	0.00	16	1.00	0	0.00	0	0.00NC_01379NC_013791	14954	24	0.00	18	0.75	6	0.00	0	0NC_009725	1NC_009725	14954	21	0.00	21	1.00	0	0.00	NC_014551	1790NC_014551	14954	9	0.00	9	1.00	0	0.00NC_014479	1790	NC_014479	14954	22	0.00	22	1.00	0	0NC_016784	1790	0	0NC_016784	14954	31	0.00	31	1.00	NC_014976	1790	0	0.00NC_014976	14954	27	0.00	27	1.NC_006270	1790	0	0.00	0	NC_006270	14954	30	0.00	25NC_016047	1790	0	0.00	0	0.0NC_016047	14954	22	0.00NC_000964	1790	0	0.00	0	0.00	0NC_000964	14954	7	0.NC_014639	1790	0	0.00	0	0.00	0	NC_014639	14954	42	NC_006322	1790	0	0.00	0	0.00	0	0.0NC_006322	14954	NC_017061	1790	0	0.00	0	0.00	0	0.00	0NC_017061	149NC_002570	1790	0	0.00	0	0.00	0	0.00	0	0.0NC_002570NC_006582	1790	0	0.00	0	0.00	0	0.00	0	0.00NC_00658NC_014829	1790	0	0.00	0	0.00	0	0.00	0	0.00	NC_0148NC_014103	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.0NC_0NC_014019	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0NNC_017188	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_017190	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_017191	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_017195	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_017138	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_017196	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_019842	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_020272	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_017743	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_020410	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_020244	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_019896	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_017912	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_020832	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_018520	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_020507	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_022081	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_022075	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_021362	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_021171	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_022653	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NZ_AP013294	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_022898	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NZ_AP014928	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_023073	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_022530	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NZ_AP012496	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NZ_CP003923	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NC_022524	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NZ_CP007739	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NZ_CP007244	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NZ_CP007165	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NZ_CP007173	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NZ_CP007242	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NZ_CP006890	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NZ_CP007436	1790	1	0.00	1	1.00	0	0.00	0	0.00	0.00	1
NZ_CP007409	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NZ_CP007800	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NZ_CP008698	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NZ_CP007512	1790	35	0.02	30	0.86	5	0.00	0	0.02	0.00	2
NZ_CP008855	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NZ_CP009709	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NZ_CP009108	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NZ_CP009748	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NZ_CP009679	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NZ_CP009611	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NZ_CP009749	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NZ_CP010075	1790	1	0.00	1	1.00	0	0.00	0	0.00	0.00	1
NZ_CP009796	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NZ_CP009938	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NZ_CP010014	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NZ_CP010406	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NZ_CP010434	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
NZ_CP010052	1790	0	0.00	0	0.00	0	0.00	0	0.00	0.00	0
